Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,116.14178,-66.773883,-90,top
D1,LED,LED_0603_1608Metric,114.980481,-77.252309,-90,top
R1,1k,R_0603_1608Metric,96.241074,-70.381224,-90,top
U1,NT3H2111W0FHKH,QFN8P50_160X160X50L40X20N,119.258976,-63.895343,0,top
